Venue,Bat First,Bat Second,Winner
Khan Shaheb Osman Ali Stadium,United Arab Emirates,Afghanistan,United Arab Emirates
Khan Shaheb Osman Ali Stadium,Oman,Hong Kong,Oman
Khan Shaheb Osman Ali Stadium,Oman,Afghanistan,Afghanistan
Khan Shaheb Osman Ali Stadium,Hong Kong,United Arab Emirates,United Arab Emirates
Shere Bangla National Stadium,Afghanistan,Hong Kong,Afghanistan
Shere Bangla National Stadium,United Arab Emirates,Oman,United Arab Emirates
Shere Bangla National Stadium,India,Bangladesh,India
Shere Bangla National Stadium,Sri Lanka,United Arab Emirates,Sri Lanka
Shere Bangla National Stadium,Bangladesh,United Arab Emirates,Bangladesh
Shere Bangla National Stadium,Pakistan,India,India
Shere Bangla National Stadium,Bangladesh,Sri Lanka,Bangladesh
Shere Bangla National Stadium,United Arab Emirates,Pakistan,Pakistan
Shere Bangla National Stadium,Sri Lanka,India,India
Shere Bangla National Stadium,Pakistan,Bangladesh,Bangladesh
Shere Bangla National Stadium,United Arab Emirates,India,India
Shere Bangla National Stadium,Sri Lanka,Pakistan,Pakistan
Shere Bangla National Stadium,Bangladesh,India,India
ICC Academy,Netherlands,United Arab Emirates,Netherlands
Pallekele International Cricket Stadium,Australia,Sri Lanka,Australia
R Premadasa Stadium,Sri Lanka,Australia,Australia
Melbourne Cricket Ground,Australia,Sri Lanka,Sri Lanka
Simonds Stadium,Australia,Sri Lanka,Sri Lanka
Adelaide Oval,Australia,Sri Lanka,Australia
Bready Cricket Club,Hong Kong,Ireland,Hong Kong
Harare Sports Club,Zimbabwe,India,Zimbabwe
Harare Sports Club,Zimbabwe,India,India
Harare Sports Club,India,Zimbabwe,India
McLean Park,Bangladesh,New Zealand,New Zealand
Bay Oval,New Zealand,Bangladesh,New Zealand
Bay Oval,New Zealand,Bangladesh,New Zealand
Eden Park,South Africa,New Zealand,South Africa
The Rose Bowl,South Africa,England,England
County Ground,South Africa,England,South Africa
Sophia Gardens,England,South Africa,England
Riverside Ground,West Indies,England,West Indies
Green Park,India,England,England
Vidarbha Cricket Association Stadium,India,England,India
M Chinnaswamy Stadium,India,England,India
Greater Noida Sports Complex Ground,Ireland,Afghanistan,Afghanistan
Greater Noida Sports Complex Ground,Afghanistan,Ireland,Afghanistan
Greater Noida Sports Complex Ground,Afghanistan,Ireland,Afghanistan
Central Broward Regional Park Stadium Turf Ground,West Indies,India,West Indies
Dubai International Cricket Stadium,West Indies,Pakistan,Pakistan
Dubai International Cricket Stadium,Pakistan,West Indies,Pakistan
Sheikh Zayed Stadium,West Indies,Pakistan,Pakistan
ICC Academy,Afghanistan,United Arab Emirates,Afghanistan
Dubai International Cricket Stadium,United Arab Emirates,Afghanistan,Afghanistan
ICC Academy,Afghanistan,United Arab Emirates,Afghanistan
Sydney Cricket Ground,New Zealand,Australia,Australia
Bellerive Oval,England,Australia,Australia
Melbourne Cricket Ground,England,Australia,Australia
Westpac Stadium,New Zealand,England,New Zealand
Eden Park,New Zealand,Australia,Australia
Seddon Park,England,New Zealand,England
Eden Park,New Zealand,Australia,Australia
Sheikh Zayed Stadium,Scotland,Hong Kong,Scotland
Sheikh Zayed Stadium,Ireland,Afghanistan,Afghanistan
Sheikh Zayed Stadium,Oman,Netherlands,Netherlands
Sheikh Zayed Stadium,Hong Kong,Oman,Oman
Sheikh Zayed Stadium,United Arab Emirates,Afghanistan,Afghanistan
Sheikh Zayed Stadium,Scotland,Netherlands,Scotland
Dubai International Cricket Stadium,Ireland,United Arab Emirates,Ireland
Dubai International Cricket Stadium,Hong Kong,Netherlands,Hong Kong
Dubai International Cricket Stadium,Oman,Scotland,Scotland
Dubai International Cricket Stadium,Oman,Afghanistan,Afghanistan
Dubai International Cricket Stadium,Ireland,Scotland,Ireland
Dubai International Cricket Stadium,Ireland,Afghanistan,Afghanistan
Mangaung Oval,South Africa,Bangladesh,South Africa
Senwes Park,South Africa,Bangladesh,South Africa
Kensington Oval,West Indies,Pakistan,Pakistan
Queen's Park Oval,Pakistan,West Indies,Pakistan
R Premadasa Stadium,Bangladesh,Sri Lanka,Sri Lanka
R Premadasa Stadium,Bangladesh,Sri Lanka,Bangladesh
Queen's Park Oval,Pakistan,West Indies,West Indies
Queen's Park Oval,West Indies,Pakistan,Pakistan
Sheikh Zayed Stadium,Papua New Guinea,United Arab Emirates,United Arab Emirates
Sheikh Zayed Stadium,United Arab Emirates,Papua New Guinea,United Arab Emirates
Sheikh Zayed Stadium,Papua New Guinea,United Arab Emirates,United Arab Emirates
Warner Park,Afghanistan,West Indies,West Indies
Warner Park,West Indies,Afghanistan,West Indies
Warner Park,Afghanistan,West Indies,West Indies
Sabina Park,India,West Indies,West Indies
R.Premadasa Stadium,Sri Lanka,India,India
Saxton Oval,New Zealand,West Indies,New Zealand
Bay Oval,New Zealand,West Indies,New Zealand
Westpac Stadium,Pakistan,New Zealand,New Zealand
Eden Park,Pakistan,New Zealand,Pakistan
Bay Oval,Pakistan,New Zealand,Pakistan
Gaddafi Stadium,Pakistan,ICC World XI,Pakistan
Gaddafi Stadium,Pakistan,ICC World XI,ICC World XI
Gaddafi Stadium,Pakistan,ICC World XI,Pakistan
JSCA International Stadium Complex,Australia,India,India
Barsapara Cricket Stadium,India,Australia,Australia
Edgbaston,England,Australia,England
Old Trafford,England,India,India
Sophia Gardens,India,England,England
County Ground,England,India,India
Arun Jaitley Stadium,India,New Zealand,India
Saurashtra Cricket Association Stadium,New Zealand,India,New Zealand
Greenfield International Stadium,India,New Zealand,India
Sheikh Zayed Stadium,Sri Lanka,Pakistan,Pakistan
Sheikh Zayed Stadium,Sri Lanka,Pakistan,Pakistan
Gaddafi Stadium,Pakistan,Sri Lanka,Pakistan
The Wanderers Stadium,India,South Africa,India
SuperSport Park,India,South Africa,South Africa
Newlands,India,South Africa,India
Barabati Stadium,India,Sri Lanka,India
Holkar Cricket Stadium,India,Sri Lanka,India
Wankhede Stadium,Sri Lanka,India,India
Grange Cricket Club,Pakistan,Scotland,Pakistan
Grange Cricket Club,Pakistan,Scotland,Pakistan
Shere Bangla National Stadium,Bangladesh,Sri Lanka,Sri Lanka
Sylhet International Cricket Stadium,Sri Lanka,Bangladesh,Sri Lanka
R.Premadasa Stadium,India,Sri Lanka,Sri Lanka
R.Premadasa Stadium,Bangladesh,India,India
R.Premadasa Stadium,Sri Lanka,Bangladesh,Bangladesh
R.Premadasa Stadium,Sri Lanka,India,India
R.Premadasa Stadium,India,Bangladesh,India
R.Premadasa Stadium,Sri Lanka,Bangladesh,Bangladesh
R.Premadasa Stadium,Bangladesh,India,India
Sharjah Cricket Stadium,Zimbabwe,Afghanistan,Afghanistan
Sharjah Cricket Stadium,Afghanistan,Zimbabwe,Afghanistan
National Stadium,Pakistan,West Indies,Pakistan
National Stadium,Pakistan,West Indies,Pakistan
National Stadium,West Indies,Pakistan,Pakistan
R.Premadasa Stadium,England,Sri Lanka,England
The Village,India,Ireland,India
The Village,India,Ireland,India
Lord's,West Indies,ICC World XI,West Indies
Hazelaarweg,Netherlands,Ireland,Netherlands
Hazelaarweg,Ireland,Netherlands,Netherlands
Sportpark Het Schootsveld,Ireland,Scotland,Ireland
VRA Ground,Netherlands,Scotland,Scotland
VRA Ground,Scotland,Netherlands,Scotland
R.Premadasa Stadium,South Africa,Sri Lanka,Sri Lanka
Harare Sports Club,Pakistan,Zimbabwe,Pakistan
Harare Sports Club,Pakistan,Australia,Australia
Harare Sports Club,Australia,Zimbabwe,Australia
Harare Sports Club,Zimbabwe,Pakistan,Pakistan
Harare Sports Club,Pakistan,Australia,Pakistan
Harare Sports Club,Zimbabwe,Australia,Australia
Harare Sports Club,Australia,Pakistan,Pakistan
Buffalo Park,South Africa,Zimbabwe,South Africa
Senwes Park,Zimbabwe,South Africa,South Africa
Newlands,South Africa,Pakistan,South Africa
The Wanderers Stadium,South Africa,Pakistan,South Africa
SuperSport Park,Pakistan,South Africa,Pakistan
SuperSport Park,South Africa,Sri Lanka,South Africa
The Wanderers Stadium,South Africa,Sri Lanka,South Africa
Carrara Oval,South Africa,Australia,South Africa
Brisbane Cricket Ground,Australia,India,Australia
Sydney Cricket Ground,Australia,India,India
Rajiv Gandhi International Cricket Stadium,Afghanistan,Bangladesh,Afghanistan
Rajiv Gandhi International Cricket Stadium,Bangladesh,Afghanistan,Afghanistan
Rajiv Gandhi International Cricket Stadium,Afghanistan,Bangladesh,Afghanistan
Warner Park,Bangladesh,West Indies,West Indies
Central Broward Regional Park Stadium Turf Ground,Bangladesh,West Indies,Bangladesh
Central Broward Regional Park Stadium Turf Ground,Bangladesh,West Indies,Bangladesh
Bready Cricket Club,Afghanistan,Ireland,Afghanistan
Bready Cricket Club,Afghanistan,Ireland,Afghanistan
Sophia Gardens,Pakistan,England,England
Sylhet International Cricket Stadium,Bangladesh,West Indies,West Indies
Shere Bangla National Stadium,Bangladesh,West Indies,Bangladesh
Shere Bangla National Stadium,West Indies,Bangladesh,West Indies
Westpac Stadium,New Zealand,India,New Zealand
Eden Park,New Zealand,India,India
Seddon Park,New Zealand,India,New Zealand
Eden Park,New Zealand,Sri Lanka,New Zealand
Sheikh Zayed Stadium,Pakistan,Australia,Pakistan
Dubai International Cricket Stadium,Pakistan,Australia,Pakistan
Dubai International Cricket Stadium,Pakistan,Australia,Pakistan
Sheikh Zayed Stadium,Pakistan,New Zealand,Pakistan
Dubai International Cricket Stadium,New Zealand,Pakistan,Pakistan
Dubai International Cricket Stadium,Pakistan,New Zealand,Pakistan
Eden Gardens,West Indies,India,India
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,India,West Indies,India
MA Chidambaram Stadium,West Indies,India,India
Darren Sammy National Cricket Stadium,West Indies,England,England
Warner Park,England,West Indies,England
Warner Park,West Indies,England,England
Tolerance Oval,United Arab Emirates,Australia,Australia
Rajiv Gandhi International Cricket Stadium,Ireland,Afghanistan,Afghanistan
Rajiv Gandhi International Cricket Stadium,Afghanistan,Ireland,Afghanistan
Rajiv Gandhi International Cricket Stadium,Afghanistan,Ireland,Afghanistan
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,Australia,Australia
M.Chinnaswamy Stadium,India,Australia,Australia
Bready Cricket Club,Zimbabwe,Ireland,Ireland
ICC Academy,United Arab Emirates,Nepal,United Arab Emirates
ICC Academy,United Arab Emirates,Nepal,Nepal
ICC Academy,Nepal,United Arab Emirates,Nepal
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,Netherlands,Netherlands
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Oman,Ireland
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Netherlands,Netherlands
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Scotland,Scotland
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,Ireland,Ireland
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Scotland,Scotland
Amini Park,Papua New Guinea,Philippines,Papua New Guinea
Amini Park,Vanuatu,Papua New Guinea,Papua New Guinea
Amini Park,Vanuatu,Philippines,Vanuatu
Amini Park,Philippines,Vanuatu,Philippines
Amini Park,Vanuatu,Papua New Guinea,Papua New Guinea
ICC Academy,United Arab Emirates,United States of America,United Arab Emirates
Sportpark Maarschalkerweerd,Germany,Italy,Italy
Adelaide Oval,Australia,Sri Lanka,Australia
Brisbane Cricket Ground,Sri Lanka,Australia,Australia
Melbourne Cricket Ground,Sri Lanka,Australia,Australia
Manuka Oval,Pakistan,Australia,Australia
Perth Stadium,Pakistan,Australia,Australia
Kyambogo Cricket Oval,Ghana,Namibia,Namibia
Lugogo Cricket Oval,Uganda,Botswana,Uganda
Kyambogo Cricket Oval,Kenya,Ghana,Kenya
Kyambogo Cricket Oval,Namibia,Uganda,Namibia
Lugogo Cricket Oval,Nigeria,Botswana,Nigeria
Kyambogo Cricket Oval,Ghana,Uganda,Uganda
Kyambogo Cricket Oval,Nigeria,Ghana,Nigeria
Kyambogo Cricket Oval,Botswana,Namibia,Namibia
Lugogo Cricket Oval,Kenya,Uganda,Kenya
King George V Sports Ground,Guernsey,Germany,Germany
King George V Sports Ground,Denmark,Norway,Denmark
King George V Sports Ground,Jersey,Denmark,Jersey
College Field,Italy,Guernsey,Italy
King George V Sports Ground,Jersey,Norway,Jersey
College Field,Norway,Germany,Germany
College Field,Jersey,Germany,Germany
King George V Sports Ground,Norway,Guernsey,Guernsey
College Field,Jersey,Italy,Jersey
King George V Sports Ground,Denmark,Germany,Germany
Buffalo Park,South Africa,England,South Africa
Kingsmead,England,South Africa,England
SuperSport Park,South Africa,England,England
The Wanderers Stadium,Australia,South Africa,Australia
St George's Park,South Africa,Australia,South Africa
Newlands,Australia,South Africa,Australia
Kinrara Academy Oval,Thailand,Malaysia,Malaysia
Kinrara Academy Oval,Thailand,Maldives,Maldives
Kinrara Academy Oval,Thailand,Malaysia,Malaysia
Kinrara Academy Oval,Maldives,Thailand,Thailand
Punjab Cricket Association IS Bindra Stadium,South Africa,India,India
M.Chinnaswamy Stadium,India,South Africa,South Africa
Arun Jaitley Stadium,India,Bangladesh,Bangladesh
Saurashtra Cricket Association Stadium,Bangladesh,India,India
Vidarbha Cricket Association Stadium,India,Bangladesh,India
Rajiv Gandhi International Stadium,West Indies,India,India
Greenfield International Stadium,India,West Indies,West Indies
Wankhede Stadium,India,West Indies,India
Hagley Oval,New Zealand,England,England
Westpac Stadium,New Zealand,England,New Zealand
Saxton Oval,New Zealand,England,New Zealand
McLean Park,England,New Zealand,England
Eden Park,New Zealand,India,India
Eden Park,New Zealand,India,India
Bay Oval,India,New Zealand,India
Hazelaarweg,Netherlands,Zimbabwe,Netherlands
Central Broward Regional Park Stadium Turf Ground,West Indies,India,India
Central Broward Regional Park Stadium Turf Ground,India,West Indies,India
Providence Stadium,West Indies,India,India
King George V Sports Ground,Guernsey,Denmark,Guernsey
King George V Sports Ground,Denmark,Italy,Denmark
Indian Association Ground,Singapore,Qatar,Singapore
Indian Association Ground,Malaysia,Kuwait,Malaysia
Indian Association Ground,Nepal,Qatar,Qatar
Indian Association Ground,Malaysia,Nepal,Nepal
Indian Association Ground,Kuwait,Qatar,Kuwait
Indian Association Ground,Malaysia,Singapore,Singapore
Indian Association Ground,Kuwait,Nepal,Nepal
Indian Association Ground,Malaysia,Qatar,Qatar
Indian Association Ground,Singapore,Nepal,Singapore
VRA Ground,Netherlands,United Arab Emirates,United Arab Emirates
Sportpark Westvliet,Netherlands,United Arab Emirates,United Arab Emirates
Kinrara Academy Oval,Malaysia,Nepal,Nepal
Kinrara Academy Oval,Nepal,Malaysia,Nepal
Pallekele International Cricket Stadium,Sri Lanka,New Zealand,New Zealand
Pallekele International Cricket Stadium,Sri Lanka,New Zealand,New Zealand
Pallekele International Cricket Stadium,Sri Lanka,New Zealand,Sri Lanka
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,West Indies,Afghanistan,West Indies
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Afghanistan,West Indies,Afghanistan
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Afghanistan,West Indies,Afghanistan
Shere Bangla National Stadium,Zimbabwe,Bangladesh,Bangladesh
Shere Bangla National Stadium,Afghanistan,Zimbabwe,Afghanistan
Shere Bangla National Stadium,Afghanistan,Bangladesh,Afghanistan
Zahur Ahmed Chowdhury Stadium,Bangladesh,Zimbabwe,Bangladesh
Zahur Ahmed Chowdhury Stadium,Afghanistan,Zimbabwe,Zimbabwe
Zahur Ahmed Chowdhury Stadium,Afghanistan,Bangladesh,Bangladesh
White Hill Field,Bermuda,United States of America,Bermuda
White Hill Field,Canada,Cayman Islands,Canada
National Stadium,Cayman Islands,United States of America,United States of America
White Hill Field,Cayman Islands,Bermuda,Bermuda
White Hill Field,United States of America,Canada,Canada
White Hill Field,Cayman Islands,Canada,Canada
White Hill Field,Cayman Islands,United States of America,United States of America
White Hill Field,Canada,United States of America,Canada
White Hill Field,Cayman Islands,Bermuda,Bermuda
United Cricket Club Ground,Namibia,Botswana,Namibia
United Cricket Club Ground,Namibia,Botswana,Namibia
United Cricket Club Ground,Namibia,Botswana,Namibia
United Cricket Club Ground,Botswana,Namibia,Namibia
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,Ireland,Ireland
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Ireland,Oman
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Hong Kong,Nepal,Nepal
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,Nepal,Nepal
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Hong Kong,Ireland
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Nepal,Ireland
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,Oman,Oman
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,Hong Kong,Netherlands
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Oman,Oman
The Rose Bowl,England,Australia,England
The Rose Bowl,Australia,England,England
The Rose Bowl,England,Australia,Australia
Old Trafford,Pakistan,England,England
Old Trafford,Pakistan,England,Pakistan
Gaddafi Stadium,Sri Lanka,Pakistan,Sri Lanka
Gaddafi Stadium,Sri Lanka,Pakistan,Sri Lanka
Gaddafi Stadium,Sri Lanka,Pakistan,Sri Lanka
ICC Academy,Singapore,Scotland,Singapore
Sheikh Zayed Stadium,Hong Kong,Ireland,Ireland
ICC Academy,Netherlands,Kenya,Netherlands
Sheikh Zayed Stadium,United Arab Emirates,Oman,Oman
ICC Academy,Bermuda,Papua New Guinea,Papua New Guinea
Sheikh Zayed Stadium,Jersey,Nigeria,Jersey
ICC Academy,Netherlands,Namibia,Netherlands
ICC Academy Ground No 2,Scotland,Kenya,Scotland
Sheikh Zayed Stadium,Ireland,United Arab Emirates,United Arab Emirates
ICC Academy Ground No 2,Papua New Guinea,Namibia,Papua New Guinea
Tolerance Oval,Canada,Jersey,Canada
ICC Academy Ground No 2,Bermuda,Singapore,Singapore
Sheikh Zayed Stadium,Hong Kong,Oman,Oman
ICC Academy,Scotland,Papua New Guinea,Scotland
Sheikh Zayed Stadium,Hong Kong,United Arab Emirates,United Arab Emirates
Tolerance Oval,Ireland,Oman,Ireland
ICC Academy,Kenya,Bermuda,Kenya
Sheikh Zayed Stadium,Canada,Nigeria,Canada
ICC Academy,Namibia,Scotland,Namibia
ICC Academy,Singapore,Netherlands,Netherlands
Tolerance Oval,Jersey,United Arab Emirates,Jersey
ICC Academy Ground No 2,Bermuda,Namibia,Namibia
Tolerance Oval,Nigeria,Oman,Oman
ICC Academy Ground No 2,Singapore,Kenya,Kenya
Sheikh Zayed Stadium,Canada,Ireland,Canada
Sheikh Zayed Stadium,Hong Kong,Jersey,Hong Kong
ICC Academy,Netherlands,Papua New Guinea,Papua New Guinea
Tolerance Oval,Nigeria,United Arab Emirates,United Arab Emirates
Tolerance Oval,Hong Kong,Canada,Hong Kong
Dubai International Cricket Stadium,Scotland,Bermuda,Scotland
Dubai International Cricket Stadium,Papua New Guinea,Singapore,Papua New Guinea
Tolerance Oval,Jersey,Ireland,Ireland
Dubai International Cricket Stadium,Namibia,Kenya,Namibia
Sheikh Zayed Stadium,Canada,Oman,Oman
Sheikh Zayed Stadium,Nigeria,Ireland,Ireland
Dubai International Cricket Stadium,Netherlands,Bermuda,Netherlands
Dubai International Cricket Stadium,Namibia,Singapore,Namibia
Dubai International Cricket Stadium,Papua New Guinea,Kenya,Papua New Guinea
Tolerance Oval,Nigeria,Hong Kong,Hong Kong
Sheikh Zayed Stadium,Jersey,Oman,Jersey
Dubai International Cricket Stadium,Scotland,Netherlands,Netherlands
Sheikh Zayed Stadium,United Arab Emirates,Canada,United Arab Emirates
Dubai International Cricket Stadium,United Arab Emirates,Netherlands,Netherlands
Dubai International Cricket Stadium,Namibia,Oman,Namibia
Dubai International Cricket Stadium,Scotland,United Arab Emirates,Scotland
Dubai International Cricket Stadium,Oman,Hong Kong,Oman
ICC Academy,Oman,Scotland,Scotland
Dubai International Cricket Stadium,Netherlands,Ireland,Netherlands
Dubai International Cricket Stadium,Papua New Guinea,Namibia,Papua New Guinea
Dubai International Cricket Stadium,Ireland,Namibia,Ireland
Dubai International Cricket Stadium,Papua New Guinea,Netherlands,Netherlands
The Village,Scotland,Netherlands,Scotland
The Village,Scotland,Ireland,Ireland
The Village,Ireland,Netherlands,Netherlands
The Village,Netherlands,Scotland,Scotland
La Manga Club Bottom Ground,Portugal,Spain,Spain
La Manga Club Bottom Ground,Gibraltar,Portugal,Portugal
La Manga Club Bottom Ground,Gibraltar,Spain,Spain
La Manga Club Bottom Ground,Spain,Portugal,Spain
La Manga Club Bottom Ground,Gibraltar,Spain,Spain
Indian Association Ground,Nepal,Zimbabwe,Zimbabwe
Indian Association Ground,Singapore,Nepal,Nepal
Indian Association Ground,Singapore,Zimbabwe,Singapore
Indian Association Ground,Zimbabwe,Nepal,Zimbabwe
Indian Association Ground,Singapore,Zimbabwe,Zimbabwe
Kinrara Academy Oval,Vanuatu,Malaysia,Vanuatu
Kinrara Academy Oval,Vanuatu,Malaysia,Vanuatu
Kinrara Academy Oval,Malaysia,Vanuatu,Malaysia
Kinrara Academy Oval,Malaysia,Vanuatu,Vanuatu
Kinrara Academy Oval,Malaysia,Vanuatu,Malaysia
Holkar Cricket Stadium,Sri Lanka,India,India
Maharashtra Cricket Association Stadium,India,Sri Lanka,India
National Cricket Stadium,Ireland,West Indies,Ireland
Warner Park,Ireland,West Indies,West Indies
Desert Springs Cricket Ground,Germany,Spain,Spain
Desert Springs Cricket Ground,Germany,Spain,Germany
Tribhuvan University International Cricket Ground,Nepal,Bhutan,Nepal
Tribhuvan University International Cricket Ground,Nepal,Maldives,Nepal
Tribhuvan University International Cricket Ground,Bhutan,Maldives,Maldives
Tribhuvan University International Cricket Ground,Maldives,Nepal,Nepal
Gaddafi Stadium,Bangladesh,Pakistan,Pakistan
Gaddafi Stadium,Bangladesh,Pakistan,Pakistan
Pallekele International Cricket Stadium,West Indies,Sri Lanka,West Indies
Pallekele International Cricket Stadium,Sri Lanka,West Indies,West Indies
Shere Bangla National Stadium,Bangladesh,Zimbabwe,Bangladesh
Shere Bangla National Stadium,Zimbabwe,Bangladesh,Bangladesh
Kinrara Academy Oval,Malaysia,Hong Kong,Malaysia
Kinrara Academy Oval,Malaysia,Hong Kong,Malaysia
Kinrara Academy Oval,Malaysia,Hong Kong,Malaysia
Kinrara Academy Oval,Malaysia,Hong Kong,Malaysia
Kinrara Academy Oval,Hong Kong,Malaysia,Malaysia
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Maldives,Oman,Oman
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),United Arab Emirates,Saudi Arabia,United Arab Emirates
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Qatar,Bahrain,Bahrain
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Iran,Kuwait,Kuwait
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Kuwait,Bahrain,Kuwait
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),United Arab Emirates,Qatar,United Arab Emirates
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Kuwait,United Arab Emirates
Greater Noida Sports Complex Ground,Ireland,Afghanistan,Afghanistan
Greater Noida Sports Complex Ground,Afghanistan,Ireland,Afghanistan
Terdthai Cricket Ground,Singapore,Thailand,Singapore
Terdthai Cricket Ground,Hong Kong,Nepal,Hong Kong
Terdthai Cricket Ground,Thailand,Malaysia,Malaysia
Terdthai Cricket Ground,Singapore,Malaysia,Singapore
Terdthai Cricket Ground,Thailand,Hong Kong,Hong Kong
Terdthai Cricket Ground,Thailand,Nepal,Nepal
Terdthai Cricket Ground,Singapore,Hong Kong,Singapore
Terdthai Cricket Ground,Malaysia,Hong Kong,Hong Kong
Manuka Oval,India,Australia,India
Sydney Cricket Ground,Australia,India,India
Sydney Cricket Ground,Australia,India,Australia
Pierre Werner Cricket Ground,Belgium,Luxembourg,Belgium
Pierre Werner Cricket Ground,Belgium,Czech Republic,Belgium
Pierre Werner Cricket Ground,Belgium,Luxembourg,Belgium
College Field,Isle of Man,Guernsey,Guernsey
Rawalpindi Cricket Stadium,Zimbabwe,Pakistan,Pakistan
Rawalpindi Cricket Stadium,Zimbabwe,Pakistan,Pakistan
Rawalpindi Cricket Stadium,Zimbabwe,Pakistan,Pakistan
Eden Park,West Indies,New Zealand,New Zealand
Bay Oval,New Zealand,West Indies,New Zealand
Eden Park,Pakistan,New Zealand,New Zealand
Seddon Park,Pakistan,New Zealand,New Zealand
McLean Park,New Zealand,Pakistan,Pakistan
Hagley Oval,New Zealand,Australia,New Zealand
University Oval,New Zealand,Australia,New Zealand
Westpac Stadium,Australia,New Zealand,Australia
Westpac Stadium,Australia,New Zealand,Australia
Sky Stadium,Australia,New Zealand,New Zealand
Seddon Park,New Zealand,Bangladesh,New Zealand
McLean Park,New Zealand,Bangladesh,New Zealand
Eden Park,New Zealand,Bangladesh,New Zealand
Moara Vlasiei Cricket Ground,Bulgaria,Romania,Bulgaria
Moara Vlasiei Cricket Ground,Romania,Bulgaria,Romania
Moara Vlasiei Cricket Ground,Bulgaria,Romania,Romania
Newlands,South Africa,England,England
Boland Park,South Africa,England,England
Newlands,South Africa,England,England
Trent Bridge,Pakistan,England,Pakistan
Headingley,England,Pakistan,England
Old Trafford,Pakistan,England,England
Gaddafi Stadium,Pakistan,South Africa,Pakistan
Gaddafi Stadium,Pakistan,South Africa,South Africa
Gaddafi Stadium,South Africa,Pakistan,Pakistan
Narendra Modi Stadium,England,India,India
Narendra Modi Stadium,India,England,England
Narendra Modi Stadium,India,England,India
Narendra Modi Stadium,India,England,India
Sophia Gardens,Sri Lanka,England,England
Sophia Gardens,Sri Lanka,England,England
The Rose Bowl,England,Sri Lanka,England
The Wanderers Stadium,South Africa,Pakistan,Pakistan
